"Title","MetaScore","UserScore","Publisher","Developer","Genre","Date","BoxArtFrontURL","BoxArtBackURL","ReferenceURL",
"'89 Dennou Kyuusei Uranai","","4.1","Induction Produce'","Micronics","Action","","http://image.gamespotcdn.net/gamespot/images/box/3/6/5/579365_20835_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/6/5/579365_20835_back.jpg","http://www.gamespot.com/89-dennou-kyuusei-uranai/platform/nes/"
"10-Yard Fight","","6.5","Nintendo","Irem","Sports","","http://image.gamespotcdn.net/gamespot/images/box/3/7/9/563379_49618_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/7/9/563379_49618_back.jpg","http://www.gamespot.com/10-yard-fight-1985/platform/nes/"
"1942","","7.8","Capcom","Micronics","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/5/8/587058_49845_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/5/8/587058_49845_back.jpg","http://www.gamespot.com/1942/platform/nes/"
"1943: The Battle of Midway","","7.8","Capcom","","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/5/9/587059_49846_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/5/9/587059_49846_back.jpg","http://www.gamespot.com/1943-the-battle-of-midway/platform/nes/"
"1999 Hore, Mitakotoka! Seikimatsu","","7.0","Coconuts Japan","","Action","","http://image.gamespotcdn.net/gamespot/images/box/6/7/7/570677_9460_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/7/7/570677_9460_back.jpg","http://www.gamespot.com/1999-hore-mitakotoka-seikimatsu/platform/nes/"
"2 in 1 Cosmocop / Cyber Monster","","6.3","Sachen","Thin Chen Enterprises","Action","","http://image.gamespotcdn.net/gamespot/images/box/2/8/8/931288_72427_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/8/8/931288_72427_back.jpg","http://www.gamespot.com/2-in-1-cosmocop-cyber-monster/platform/nes/"
"2 in 1 Geminim/Siamond","","- -","RetroZone","Sivak Games","Puzzle","","http://image.gamespotcdn.net/gamespot/images/box/2/9/9/622299_199424_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/9/9/622299_199424_back.jpg","http://www.gamespot.com/2-in-1-geminim-siamond/platform/nes/"
"2 in 1 Tough Cop / Super Tough Cop","","6.3","Sachen","Thin Chen Enterprises","Action","","http://image.gamespotcdn.net/gamespot/images/box/2/8/9/931289_72428_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/8/9/931289_72428_back.jpg","http://www.gamespot.com/2-in-1-tough-cop-super-tough-cop/platform/nes/"
"3 in 1 Supergun","","- -","Micro Genius","TXC Corp","Action","","http://image.gamespotcdn.net/gamespot/images/box/1/6/2/989162_158801_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/6/2/989162_158801_back.jpg","http://www.gamespot.com/3-in-1-supergun/platform/nes/"
"3-D WorldRunner","","6.7","Acclaim","SquareSoft","Action","","http://image.gamespotcdn.net/gamespot/images/box/7/8/5/587785_49878_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/8/5/587785_49878_back.jpg","http://www.gamespot.com/3-d-worldrunner/platform/nes/"
"3D Block","","4.5","RCM","Hwang Shinwei","Puzzle","","http://image.gamespotcdn.net/gamespot/images/box/1/1/0/936110_81048_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/1/0/936110_81048_back.jpg","http://www.gamespot.com/3d-block/platform/nes/"
