romExtensionlessFileName,romFileName,romSize,romHashCRC,romHashMD5,romHashSHA1
"'89 Dennou Kyuusei Uranai (Japan)","'89 Dennou Kyuusei Uranai (Japan).nes",262144,BA58ED29,4187A797E33BC96A96993220DA6F09F7,56FE858D1035DCE4B68520F457A0858BAE7BB16D
"10-Yard Fight (Japan)","10-Yard Fight (Japan).nes",24576,836C4FA7,7F7A89EF806464338B1722C120648E7D,55DC03A493150258E10166CF38ED76DFADE605D6
"10-Yard Fight (USA, Europe)","10-Yard Fight (USA, Europe).nes",40960,3D564757,BD2C15391B0641D43A35E83F5FCE073A,016818BF6BAAF779F4F5C1658880B81D23EA40CA
"10-Yard Fight (Japan) (Rev 1)","10-Yard Fight (Japan) (Rev 1).nes",24576,44D21F83,29BD9F8EF03C4D0EE75571B86AA60F36,D850B48ACA4A3B1E503D2A483508564D774C536C
"100 Man Dollar Kid - Maboroshi no Teiou Hen (Japan)","100 Man Dollar Kid - Maboroshi no Teiou Hen (Japan).nes",262144,73E41AC7,1A273757A4775B2A5FCA0B3D8AF0136F,39616A91274232629E40546157C2BF413DEF5721
"1942 (Japan, USA)","1942 (Japan, USA).nes",40960,171251E3,0B66FDF88964235C434DAFF62837AF60,7F57EACE7CADA7C36412A50F2299231B304527A8
"1943 - The Battle of Midway (USA)","1943 - The Battle of Midway (USA).nes",131072,12C6D5C7,190D10A3685F87BA32135AC595283F36,1E76A86398F069DA43B25351EF419BE664D630C5
"1943 - The Battle of Midway (Japan) (Beta)","1943 - The Battle of Midway (Japan) (Beta).nes",131072,3FF10E3D,9315B733FD8D1CDF4339EAA587F39ECA,EE478A1D06BE0BB0442183EB61A6E2BD067344EC
"1943 - The Battle of Valhalla (Japan)","1943 - The Battle of Valhalla (Japan).nes",131072,4E42F13A,F3A8822EC4AD196348D6C959289D34E1,619C8C45C14BB26FEE93D0F8646127F30E336128
"1991 Du Ma Racing (Asia) (Unl)","1991 Du Ma Racing (Asia) (Unl).nes",65536,AC97AA09,5204E9EED591BD03A0B0665A46730BF1,5160D9D2DAFA8BD055E3413B36981412534B3223
"1999 - Hore, Mitakotoka! Seikimatsu (Japan)","1999 - Hore, Mitakotoka! Seikimatsu (Japan).nes",393216,29EC0FD1,988DD282D308A5E979A53A782F1C8326,3E753D57F5F5E72810E8B11827FECDC714F1891A
"3 in 1 Supergun (Asia) (Unl)","3 in 1 Supergun (Asia) (Unl).nes",65536,74BEA652,B14F1367D9F27F114F296BD2452737AC,EBCFAE8EE711098B97ED6E1CF428AF0FCA8E2BBE
"3-D Block (Asia) (RCM Group) (Unl)","3-D Block (Asia) (RCM Group) (Unl).nes",32768,71CAF097,169E7469CCB1C0D2AFAA8C2E7279BD8B,82603E6F5BF7EDC7517EA13FA287918682A0D1FE
"3-D Block (Asia) (Hwang Shinwei) (Unl)","3-D Block (Asia) (Hwang Shinwei) (Unl).nes",32768,86DBA660,B78EAD9A1DEE3D8BD5BC4104C984E8D8,56CBA51568B0F1458AA7E0DE6575D1225E40F7A1
"3-D WorldRunner (USA)","3-D WorldRunner (USA).nes",131072,E6A477B2,29E5E1A5F8B400773EF9D959044456B2,CE70E57475F4058AC5A05DFED92163D42F0B8B96
"4 Nin Uchi Mahjong (Japan)","4 Nin Uchi Mahjong (Japan).nes",24576,D91104F1,32EECC96B3E1EEECDE1C079869DBA63A,D5C91381D98F6347BEEE398EA92B21C25DD48601
"4 Nin Uchi Mahjong (Japan) (Rev A)","4 Nin Uchi Mahjong (Japan) (Rev A).nes",24576,84BE00E9,B6A80DF3985843B31B55F7AF6D1D4546,73F400F1EEE931EA12750B5DE018D1FB70C55D98
"720 Degrees (USA)","720 Degrees (USA).nes",131072,49F745E0,BB9F640237A953B4753DF9D2A8DC31B3,57690BE45879AA00DD825B89FC525E31FDC041FF
"8 Eyes (USA)","8 Eyes (USA).nes",262144,326AB3B6,B1680D0AA5416FC14CD256907F8ADD1F,C74D5CD42C2D29B3358A59FD66757EB00B130A75
"8 Eyes (Japan)","8 Eyes (Japan).nes",262144,F8D53171,22B180B6060D45244A007F73DA42D370,033F2468BBA8A3FF796FF90E858C4958326F478E
"A Ressha de Ikou (Japan)","A Ressha de Ikou (Japan).nes",147456,6377CB75,2B095919A6BCAB99938C11B7C48E9BB6,8E9273ADB4677B03C4E1265CF40A17242732746C
"Aa Yakyuu Jinsei Icchokusen (Japan)","Aa Yakyuu Jinsei Icchokusen (Japan).nes",524288,B7773A07,8F2CD810C1B19C75D8B69B248462A8D3,0571F4972D470213440578A48D5EB84673DF7BD0
"Abadox (Japan)","Abadox (Japan).nes",262144,14CD576E,6129D3BA110CB50496E1F4EFF9B1C333,07CDE12D71BE979F9FED6FC6313142524FF0AA20
"Abadox - The Deadly Inner War (USA)","Abadox - The Deadly Inner War (USA).nes",262144,B134D713,84F06D39C96D4B875BA558654CD1B464,FEB83967ED5418547D5A56DEA30A270684A6DF6C
"Abarenbou Tengu (Japan)","Abarenbou Tengu (Japan).nes",262144,CC7A4DCA,B8869BF2BC256C521787B8851B5A2458,02F29D89B919EFF7E401B1A13DE905F2B251D1B6
"Aces - Iron Eagle 3 (Japan)","Aces - Iron Eagle 3 (Japan).nes",524288,7C27AB86,E7C452E6B5BB11EB08B0A8796613BCDD,230D75848E475FECDEDA4A5564020593320F9160
"Action 52 (USA) (Rev A) (Unl)","Action 52 (USA) (Rev A) (Unl).nes",2097152,51C0B27E,FB292AF0E15CC20298DBCE5CAA40D075,F7C8999719D5A8B8F795F9F3D9650740DEFBDBF5
"Action 52 (USA) (Unl)","Action 52 (USA) (Unl).nes",2097152,0C222495,233CDDD94C3F3D5B9A9F4670A914E74D,8E5767E4A6D5842684E1538D21948538643E0393
"Action in New York (Europe)","Action in New York (Europe).nes",262144,3AC0830A,71903B9937BFF305B7A1C8E0077BE2A6,C34ED0F6CEE061DCBD0F36D05A49FFEB9E1D8461
"Addams Family, The (Europe) (En,Fr,De)","Addams Family, The (Europe) (En,Fr,De).nes",262144,BF700470,22A31088ABA29B0F35023645528957A3,A04F1DE29C02A602DD27E6F17EBB1991C5806C6A
"Addams Family, The (USA)","Addams Family, The (USA).nes",262144,65518EAE,4891FF6840DA3F608618C100BC064BBA,D08992699355195E9ED4DCA2110FE9FC338ED652
"Addams Family, The - Pugsley's Scavenger Hunt (USA)","Addams Family, The - Pugsley's Scavenger Hunt (USA).nes",262144,063E5653,67D870AAA3FD90109383A52BE3887C6E,0D565384E36F490A0A3B555BED51F28B7939663A
"Addams Family, The - Pugsley's Scavenger Hunt (Europe)","Addams Family, The - Pugsley's Scavenger Hunt (Europe).nes",262144,9632C470,DA86BA0C3BCC1F8D12B2C04B89CE6447,5D08218E39AE4D76925C6888BC0F03A1A3B829B2
"Addams Family, The - Pugsley's Scavenger Hunt (Europe) (Beta)","Addams Family, The - Pugsley's Scavenger Hunt (Europe) (Beta).nes",262144,C8F203F9,904F7EC52A546A2D0A6E60B9FC868B01,533941E81D74CBD5F2A38B6A1A37156AEA74E765
"Addams Family, The - Uncle Fester's Quest (USA) (Beta)","Addams Family, The - Uncle Fester's Quest (USA) (Beta).nes",262144,F471827D,03B20B969DA99DC20732CEAC1F261AED,4E717A133C5B0C7101D1E8D784263A2C9FAB294B
"Advanced Dungeons & Dragons - Dragons of Flame (Japan)","Advanced Dungeons & Dragons - Dragons of Flame (Japan).nes",262144,E616FF0A,AC7FA71CFBBE4CE59897E2818F5A3651,B7C8E914CCCE4B8BBD07B651D5ED0EC14752D189
"Advanced Dungeons & Dragons - DragonStrike (USA)","Advanced Dungeons & Dragons - DragonStrike (USA).nes",524288,2C5908A7,5EE1587C34A475FD8BC372F04E4961E1,2A12752F779F83782196EB0CD4DC1E426059D305
"Advanced Dungeons & Dragons - Heroes of the Lance (Japan)","Advanced Dungeons & Dragons - Heroes of the Lance (Japan).nes",262144,1E472E7A,6922D92CE10967A8703C1C6E40719C19,C9056C8E07229240D626DD7A81B20FA2D0795847
"Advanced Dungeons & Dragons - Heroes of the Lance (USA)","Advanced Dungeons & Dragons - Heroes of the Lance (USA).nes",262144,B17574F3,4F46D1DE7D0AFBA7C04361E499748382,50E76171AA106895C745E7A4F8D9852DB72AAD12
"Advanced Dungeons & Dragons - Heroes of the Lance (USA) (Beta)","Advanced Dungeons & Dragons - Heroes of the Lance (USA) (Beta).nes",262144,C22F3E9F,D3A9D364721512FD0300A66CE9CFFAA6,41D2B5A54D498AAFC883B273330407B3A664CA84
"Advanced Dungeons & Dragons - Hillsfar (Japan)","Advanced Dungeons & Dragons - Hillsfar (Japan).nes",262144,2C33161D,8C30921B9328F4094ACDE55BBFAA0776,85DC8BF106CBE7E3359B30337DFB07ABB43A31B2
"Advanced Dungeons & Dragons - Hillsfar (USA)","Advanced Dungeons & Dragons - Hillsfar (USA).nes",262144,5DE61639,B1C2DF446373777BB72EE2337CED5792,B2662816D0367143D41A697B7B714F312E9AC125
"Advanced Dungeons & Dragons - Pool of Radiance (Japan)","Advanced Dungeons & Dragons - Pool of Radiance (Japan).nes",655360,CA730971,3CA38A30F1EC411073FC369C9EE41E2E,D48B10D9EE30B6891979985448B047B314A032AE
"Advanced Dungeons & Dragons - Pool of Radiance (USA)","Advanced Dungeons & Dragons - Pool of Radiance (USA).nes",655360,25952141,859542620628AFCC2B7103B7A27BD72F,65164022F5F3354B168972CC3FF85F4F01808169
"Adventure Island 3 (USA)","Adventure Island 3 (USA).nes",262144,BFBFD25D,C517CA2FD6199FDE0BA4B3847D9BBECF,F77EB86932844A92834EF12C059A3F5B815DAC07
"Adventure Island Classic (Europe)","Adventure Island Classic (Europe).nes",65536,86867830,8B82C004ED7429322621E0F745EF802E,6A8747A4A6F9F0FA35E66ED12F8AD8027911B302
"Adventure Island II (USA)","Adventure Island II (USA).nes",262144,771C8855,4CCF65A4F658FD237E774D29ADDC3A5C,D30741F41F76B34C08032FC61579DC5963F1443D
"Adventure Island Part II, The (Europe)","Adventure Island Part II, The (Europe).nes",262144,7E4BA78F,84217286F9CA0136945326613055DEA6,CF7A17818BF91F546C8CB8F72A9B427572575C94
"Adventures in the Magic Kingdom (USA)","Adventures in the Magic Kingdom (USA).nes",262144,5DBD6099,C1EDA7B38BD8FB314285DDCC766A2458,F2F932F772E449A29854DCC4B4BF2EFBB09CD0AD
"Adventures in the Magic Kingdom (Europe)","Adventures in the Magic Kingdom (Europe).nes",262144,6B761858,54291A0DFBDE21D3ED69B81171FB1E7D,68836AA74871F35A478DD66296C9DA090E981C29
"Adventures in the Magic Kingdom (USA) (Beta)","Adventures in the Magic Kingdom (USA) (Beta).nes",262144,3CF749DE,A93AD9BF8B74D766138090C4B30A2D42,0E6792AE7516468F62E57D1DA5248F76D0E76837
